,Unnamed: 0,Year,Month,State,Primary Mode,Illnesses,Hospitalizations,Deaths,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F),Length of Genome,%GC,Protein Coding Genes,Genes Overall,tRNA Genes
123,198,2015,9,Idaho,Food,15,3.0,0.0,2015 9 Idaho,O157:H7,20,82643,0.911,0.872,65.0,41.0,5.59,50.45,"5,155","5,417",103
124,199,2010,10,Idaho,Food,3,3.0,0.0,2010 10 Idaho,O157:H7,20,82643,0.911,0.872,48.0,32.0,5.59,50.45,"5,155","5,417",103
125,200,1999,10,Idaho,Food,33,3.0,0.0,1999 10 Idaho,O157:H7,20,82643,0.911,0.872,48.0,32.0,5.59,50.45,"5,155","5,417",103
126,202,2017,3,Idaho,Other,3,1.0,0.0,2017 3 Idaho,O157:H7,20,82643,0.911,0.872,62.0,39.0,5.59,50.45,"5,155","5,417",103
127,203,2013,8,Idaho,Other,2,0.0,0.0,2013 8 Idaho,O157:H7,20,82643,0.911,0.872,79.0,51.0,5.59,50.45,"5,155","5,417",103
128,205,2006,11,Idaho,Food,4,0.0,0.0,2006 11 Idaho,O157:H7,20,82643,0.911,0.872,38.0,24.0,5.59,50.45,"5,155","5,417",103
129,206,2009,7,Oregon,Other,3,0.0,0.0,2009 7 Oregon,O157:H7,41,95988,0.934,0.882,82.0,53.0,5.59,50.45,"5,155","5,417",103
130,207,2011,7,Oregon,Other,2,0.0,0.0,2011 7 Oregon,O157:H7,41,95988,0.934,0.882,82.0,53.0,5.59,50.45,"5,155","5,417",103
131,208,2011,7,Oregon,Food,15,7.0,2.0,2011 7 Oregon,O157:H7,41,95988,0.934,0.882,82.0,53.0,5.59,50.45,"5,155","5,417",103
132,209,2013,7,Oregon,Other,2,2.0,,2013 7 Oregon,O157:H7,41,95988,0.934,0.882,82.0,53.0,5.59,50.45,"5,155","5,417",103
133,212,2014,7,Oregon,Other,3,0.0,0.0,2014 7 Oregon,O157:H7,41,95988,0.934,0.882,82.0,53.0,5.59,50.45,"5,155","5,417",103
134,215,2011,8,Oregon,Other,2,0.0,,2011 8 Oregon,O157:H7,41,95988,0.934,0.882,77.0,48.0,5.59,50.45,"5,155","5,417",103
135,217,2009,8,Oregon,Other,2,0.0,0.0,2009 8 Oregon,O157:H7,41,95988,0.934,0.882,77.0,48.0,5.59,50.45,"5,155","5,417",103
136,218,2013,8,Oregon,Other,2,,,2013 8 Oregon,O157:H7,41,95988,0.934,0.882,77.0,48.0,5.59,50.45,"5,155","5,417",103
137,220,2014,8,Oregon,Other,2,2.0,1.0,2014 8 Oregon,O157:H7,41,95988,0.934,0.882,77.0,48.0,5.59,50.45,"5,155","5,417",103
138,221,2000,8,Oregon,Food,37,4.0,0.0,2000 8 Oregon,O157:H7,41,95988,0.934,0.882,77.0,48.0,5.59,50.45,"5,155","5,417",103
139,222,2003,8,Oregon,Food,12,2.0,0.0,2003 8 Oregon,O157:H7,41,95988,0.934,0.882,77.0,48.0,5.59,50.45,"5,155","5,417",103
140,223,2010,8,Oregon,Other,3,1.0,0.0,2010 8 Oregon,O157:H7,41,95988,0.934,0.882,77.0,48.0,5.59,50.45,"5,155","5,417",103
141,224,2010,8,Oregon,Other,3,2.0,0.0,2010 8 Oregon,O157:H7,41,95988,0.934,0.882,77.0,48.0,5.59,50.45,"5,155","5,417",103
142,225,2016,8,Oregon,Other,3,3.0,0.0,2016 8 Oregon,O157:H7,41,95988,0.934,0.882,77.0,48.0,5.59,50.45,"5,155","5,417",103
143,228,2011,10,Oregon,Other,2,1.0,,2011 10 Oregon,O157:H7,41,95988,0.934,0.882,53.0,38.0,5.59,50.45,"5,155","5,417",103
144,229,2012,10,Oregon,Food,4,1.0,0.0,2012 10 Oregon,O157:H7,41,95988,0.934,0.882,53.0,38.0,5.59,50.45,"5,155","5,417",103
145,230,2014,10,Oregon,Other,2,0.0,0.0,2014 10 Oregon,O157:H7,41,95988,0.934,0.882,53.0,38.0,5.59,50.45,"5,155","5,417",103
146,231,2005,10,Oregon,Food,64,1.0,0.0,2005 10 Oregon,O157:H7,41,95988,0.934,0.882,53.0,38.0,5.59,50.45,"5,155","5,417",103
147,235,2012,4,Oregon,Food,16,4.0,0.0,2012 4 Oregon,O157:H7,41,95988,0.934,0.882,68.0,45.0,5.59,50.45,"5,155","5,417",103
148,238,2010,6,Oregon,Food,4,4.0,0.0,2010 6 Oregon,O157:H7,41,95988,0.934,0.882,82.0,53.0,5.59,50.45,"5,155","5,417",103
149,241,2010,6,Oregon,Other,11,2.0,0.0,2010 6 Oregon,O157:H7,41,95988,0.934,0.882,82.0,53.0,5.59,50.45,"5,155","5,417",103
150,242,2009,9,Oregon,Other,4,1.0,0.0,2009 9 Oregon,O157:H7,41,95988,0.934,0.882,64.0,42.0,5.59,50.45,"5,155","5,417",103
151,243,2009,9,Oregon,Other,4,2.0,0.0,2009 9 Oregon,O157:H7,41,95988,0.934,0.882,64.0,42.0,5.59,50.45,"5,155","5,417",103
152,245,2001,9,Oregon,Food,8,0.0,0.0,2001 9 Oregon,O157:H7,41,95988,0.934,0.882,64.0,42.0,5.59,50.45,"5,155","5,417",103
153,246,2010,9,Oregon,Other,7,3.0,0.0,2010 9 Oregon,O157:H7,41,95988,0.934,0.882,64.0,42.0,5.59,50.45,"5,155","5,417",103
154,249,2003,5,Oregon,Food,3,1.0,0.0,2003 5 Oregon,O157:H7,41,95988,0.934,0.882,74.0,49.0,5.59,50.45,"5,155","5,417",103
