,Year,Month,State,Primary Mode,Illnesses,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F),Length of Genome,%GC,Protein Coding Genes,Genes Overall,tRNA Genes
176,2001,10,Wisconsin,Food,34,2001 10 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,46,32,5.59,50.45,5155,5417,103
177,2013,3,Wisconsin,Food,3,2013 3 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,54,37,5.59,50.45,5155,5417,103
178,1998,11,Wisconsin,Food,13,1998 11 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,33,20,5.59,50.45,5155,5417,103
179,2011,4,Tennessee,Other,9,2011 4 Tennessee,O157:H7,160,41235,0.897,0.851,81,62,5.59,50.45,5155,5417,103
180,2012,4,Tennessee,Other,8,2012 4 Tennessee,O157:H7,160,41235,0.897,0.851,81,62,5.59,50.45,5155,5417,103
181,1999,4,Tennessee,Food,30,1999 4 Tennessee,O157:H7,160,41235,0.897,0.851,81,62,5.59,50.45,5155,5417,103
182,2002,4,Tennessee,Food,26,2002 4 Tennessee,O157:H7,160,41235,0.897,0.851,81,62,5.59,50.45,5155,5417,103
183,2016,4,Tennessee,Other,22,2016 4 Tennessee,O157:H7,160,41235,0.897,0.851,81,62,5.59,50.45,5155,5417,103
184,2013,5,Tennessee,Other,2,2013 5 Tennessee,O157:H7,160,41235,0.897,0.851,89,70,5.59,50.45,5155,5417,103
185,2008,5,Tennessee,Food,6,2008 5 Tennessee,O157:H7,160,41235,0.897,0.851,89,70,5.59,50.45,5155,5417,103
186,2013,6,Tennessee,Food,7,2013 6 Tennessee,O157:H7,160,41235,0.897,0.851,92,74,5.59,50.45,5155,5417,103
187,2010,6,Tennessee,Other,14,2010 6 Tennessee,O157:H7,160,41235,0.897,0.851,92,74,5.59,50.45,5155,5417,103
188,2013,7,Tennessee,Other,34,2013 7 Tennessee,O157:H7,160,41235,0.897,0.851,91,73,5.59,50.45,5155,5417,103
189,2013,10,Tennessee,Food,9,2013 10 Tennessee,O157:H7,160,41235,0.897,0.851,63,44,5.59,50.45,5155,5417,103
190,2003,10,Tennessee,Food,6,2003 10 Tennessee,O157:H7,160,41235,0.897,0.851,63,44,5.59,50.45,5155,5417,103
