,Year,Month,State,Primary Mode,Illnesses,Hospitalizations,Deaths,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F)
186,2009,2,Colorado,Other,13,0.0,0.0,2009 2 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,54,27
187,2010,3,Colorado,Food,2,1.0,0.0,2010 3 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,61,34
188,2011,5,Idaho,Food,2,2.0,0.0,2011 5 Idaho,O121:H19,20,82643,0.9109999999999999,0.872,81.0,54.0
189,2011,5,Idaho,Other,3,0.0,0.0,2011 5 Idaho,O26:H11,20,82643,0.9109999999999999,0.872,81.0,54.0
190,2017,5,Idaho,Other,3,0.0,0.0,2017 5 Idaho,O121,20,82643,0.9109999999999999,0.872,81.0,54.0
191,2017,5,Idaho,Other,2,0.0,0.0,2017 5 Idaho,O26,20,82643,0.9109999999999999,0.872,81.0,54.0
192,2011,6,Idaho,Other,6,0.0,0.0,2011 6 Idaho,O26:H11,20,82643,0.9109999999999999,0.872,91.0,60.0
193,2011,9,Idaho,Other,2,0.0,0.0,2011 9 Idaho,O26:H11,20,82643,0.9109999999999999,0.872,65.0,41.0
194,2011,9,Idaho,Food,5,1.0,0.0,2011 9 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,65.0,41.0
195,2011,9,Idaho,Other,2,2.0,0.0,2011 9 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,65.0,41.0
196,2013,9,Idaho,Food,4,1.0,1.0,2013 9 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,65.0,41.0
197,2010,9,Idaho,Food,6,3.0,0.0,2010 9 Idaho,O121:H19,20,82643,0.9109999999999999,0.872,65.0,41.0
198,2015,9,Idaho,Food,15,3.0,0.0,2015 9 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,65.0,41.0
199,2010,10,Idaho,Food,3,3.0,0.0,2010 10 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,48.0,32.0
200,1999,10,Idaho,Food,33,3.0,0.0,1999 10 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,48.0,32.0
201,2013,3,Idaho,Other,2,0.0,0.0,2013 3 Idaho,O111:NM,20,82643,0.9109999999999999,0.872,62.0,39.0
202,2017,3,Idaho,Other,3,1.0,0.0,2017 3 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,62.0,39.0
203,2013,8,Idaho,Other,2,0.0,0.0,2013 8 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,79.0,51.0
204,2017,8,Idaho,Other,3,0.0,0.0,2017 8 Idaho,O26,20,82643,0.9109999999999999,0.872,79.0,51.0
205,2006,11,Idaho,Food,4,0.0,0.0,2006 11 Idaho,O157:H7,20,82643,0.9109999999999999,0.872,38.0,24.0
206,2009,7,Oregon,Other,3,0.0,0.0,2009 7 Oregon,O157:H7,41,95988,0.934,0.882,82,53
207,2011,7,Oregon,Other,2,0.0,0.0,2011 7 Oregon,O157:H7,41,95988,0.934,0.882,82,53
208,2011,7,Oregon,Food,15,7.0,2.0,2011 7 Oregon,O157:H7,41,95988,0.934,0.882,82,53
209,2013,7,Oregon,Other,2,2.0,,2013 7 Oregon,O157:H7,41,95988,0.934,0.882,82,53
210,2013,7,Oregon,Other,4,0.0,0.0,2013 7 Oregon,O26,41,95988,0.934,0.882,82,53
211,2013,7,Oregon,Other,2,0.0,0.0,2013 7 Oregon,O157,41,95988,0.934,0.882,82,53
212,2014,7,Oregon,Other,3,0.0,0.0,2014 7 Oregon,O157:H7,41,95988,0.934,0.882,82,53
213,2015,7,Oregon,Other,3,0.0,0.0,2015 7 Oregon,O157,41,95988,0.934,0.882,82,53
214,2015,7,Oregon,Other,3,1.0,0.0,2015 7 Oregon,O26,41,95988,0.934,0.882,82,53
215,2011,8,Oregon,Other,2,0.0,,2011 8 Oregon,O157:H7,41,95988,0.934,0.882,77,48
216,2012,8,Oregon,Other,5,2.0,0.0,2012 8 Oregon,O157,41,95988,0.934,0.882,77,48
217,2009,8,Oregon,Other,2,0.0,0.0,2009 8 Oregon,O157:H7,41,95988,0.934,0.882,77,48
218,2013,8,Oregon,Other,2,,,2013 8 Oregon,O157:H7,41,95988,0.934,0.882,77,48
